id,tier,domain,fallback,yandex_primary,secondary,tertiary
cardio_16,1,cardiologist,False,FAITHFUL,FAITHFUL,FAITHFUL
cardio_17,1,cardiologist,False,FAITHFUL,FAITHFUL,HALLUCINATION
cardio_18,1,cardiologist,False,FAITHFUL,FAITHFUL,FAITHFUL
cardio_19,1,cardiologist,False,FAITHFUL,FAITHFUL,FAITHFUL
cardio_20,1,cardiologist,False,FAITHFUL,FAITHFUL,FAITHFUL
cardio_21,1,cardiologist,False,FAITHFUL,FAITHFUL,FAITHFUL
cardio_22,2,cardiologist,False,FAITHFUL,FAITHFUL,FAITHFUL
cardio_23,2,cardiologist,False,FAITHFUL,FAITHFUL,FAITHFUL
cardio_24,2,cardiologist,False,FAITHFUL,FAITHFUL,FAITHFUL
cardio_25,2,cardiologist,False,FAITHFUL,FAITHFUL,FAITHFUL
cardio_26,2,cardiologist,False,FAITHFUL,FAITHFUL,FAITHFUL
cardio_27,2,cardiologist,False,FAITHFUL,FAITHFUL,FAITHFUL
cardio_28,3,cardiologist,False,FAITHFUL,FAITHFUL,FAITHFUL
cardio_29,3,cardiologist,False,FAITHFUL,FAITHFUL,FAITHFUL
cardio_30,3,cardiologist,False,FAITHFUL,FAITHFUL,FAITHFUL
cardio_31,3,cardiologist,False,FAITHFUL,FAITHFUL,FAITHFUL
cardio_32,3,cardiologist,False,FAITHFUL,FAITHFUL,FAITHFUL
cardio_33,1,cardiologist,False,FAITHFUL,FAITHFUL,FAITHFUL
cardio_34,1,cardiologist,False,FAITHFUL,FAITHFUL,FAITHFUL
cardio_35,2,cardiologist,False,FAITHFUL,FAITHFUL,FAITHFUL
cardio_36,2,cardiologist,False,FAITHFUL,FAITHFUL,FAITHFUL
cardio_37,1,cardiologist,False,FAITHFUL,FAITHFUL,FAITHFUL
cardio_38,1,cardiologist,False,FAITHFUL,FAITHFUL,FAITHFUL
cardio_39,2,cardiologist,False,FAITHFUL,FAITHFUL,FAITHFUL
cardio_40,2,cardiologist,False,FAITHFUL,HALLUCINATION,FAITHFUL
cardio_41,1,cardiologist,False,FAITHFUL,FAITHFUL,FAITHFUL
cardio_42,1,cardiologist,False,FAITHFUL,FAITHFUL,FAITHFUL
cardio_43,2,cardiologist,False,FAITHFUL,FAITHFUL,FAITHFUL
cardio_44,2,cardiologist,False,FAITHFUL,FAITHFUL,FAITHFUL
cardio_45,1,cardiologist,False,FAITHFUL,FAITHFUL,FAITHFUL
cardio_46,3,cardiologist,False,FAITHFUL,FAITHFUL,FAITHFUL
cardio_47,3,cardiologist,False,FAITHFUL,FAITHFUL,FAITHFUL
cardio_48,3,cardiologist,False,FAITHFUL,FAITHFUL,FAITHFUL
cardio_49,2,cardiologist,False,FAITHFUL,FAITHFUL,FAITHFUL
cardio_50,2,cardiologist,False,FAITHFUL,FAITHFUL,FAITHFUL
endo_16,1,endocrinologist,False,FAITHFUL,FAITHFUL,FAITHFUL
endo_17,1,endocrinologist,False,FAITHFUL,FAITHFUL,FAITHFUL
endo_18,1,endocrinologist,False,FAITHFUL,FAITHFUL,FAITHFUL
endo_19,1,endocrinologist,False,FAITHFUL,FAITHFUL,FAITHFUL
endo_20,1,endocrinologist,False,FAITHFUL,FAITHFUL,FAITHFUL
endo_21,1,endocrinologist,False,FAITHFUL,FAITHFUL,HALLUCINATION
endo_22,1,endocrinologist,False,FAITHFUL,FAITHFUL,FAITHFUL
endo_23,1,endocrinologist,False,FAITHFUL,FAITHFUL,FAITHFUL
endo_24,1,endocrinologist,False,FAITHFUL,FAITHFUL,FAITHFUL
endo_25,2,endocrinologist,False,FAITHFUL,FAITHFUL,FAITHFUL
endo_26,2,endocrinologist,False,FAITHFUL,FAITHFUL,FAITHFUL
endo_27,2,endocrinologist,False,FAITHFUL,FAITHFUL,FAITHFUL
endo_28,2,endocrinologist,False,FAITHFUL,FAITHFUL,FAITHFUL
endo_29,2,endocrinologist,False,FAITHFUL,FAITHFUL,FAITHFUL
endo_30,2,endocrinologist,False,FAITHFUL,FAITHFUL,FAITHFUL
endo_31,2,endocrinologist,False,FAITHFUL,FAITHFUL,FAITHFUL
endo_32,2,endocrinologist,False,FAITHFUL,FAITHFUL,FAITHFUL
endo_33,2,endocrinologist,False,FAITHFUL,FAITHFUL,FAITHFUL
endo_34,1,endocrinologist,False,FAITHFUL,FAITHFUL,FAITHFUL
endo_35,2,endocrinologist,False,FAITHFUL,FAITHFUL,FAITHFUL
endo_36,2,endocrinologist,False,FAITHFUL,FAITHFUL,FAITHFUL
endo_37,2,endocrinologist,False,FAITHFUL,FAITHFUL,FAITHFUL
endo_38,2,endocrinologist,False,FAITHFUL,FAITHFUL,HALLUCINATION
endo_39,3,endocrinologist,False,FAITHFUL,FAITHFUL,FAITHFUL
endo_40,3,endocrinologist,False,FAITHFUL,FAITHFUL,FAITHFUL
endo_41,3,endocrinologist,False,FAITHFUL,FAITHFUL,FAITHFUL
endo_42,3,endocrinologist,False,FAITHFUL,FAITHFUL,FAITHFUL
endo_43,3,endocrinologist,False,FAITHFUL,FAITHFUL,FAITHFUL
endo_44,3,endocrinologist,False,FAITHFUL,FAITHFUL,FAITHFUL
endo_45,1,endocrinologist,False,FAITHFUL,FAITHFUL,FAITHFUL
endo_46,1,endocrinologist,False,FAITHFUL,FAITHFUL,FAITHFUL
endo_47,2,endocrinologist,False,FAITHFUL,FAITHFUL,FAITHFUL
endo_48,2,endocrinologist,False,FAITHFUL,FAITHFUL,FAITHFUL
endo_49,2,endocrinologist,False,FAITHFUL,FAITHFUL,FAITHFUL
endo_50,3,endocrinologist,False,FAITHFUL,FAITHFUL,FAITHFUL
gastro_16,1,gastroenterologist,False,FAITHFUL,FAITHFUL,FAITHFUL
gastro_17,1,gastroenterologist,False,FAITHFUL,FAITHFUL,FAITHFUL
gastro_18,1,gastroenterologist,False,FAITHFUL,FAITHFUL,FAITHFUL
gastro_19,1,gastroenterologist,False,FAITHFUL,FAITHFUL,FAITHFUL
gastro_20,1,gastroenterologist,False,FAITHFUL,FAITHFUL,FAITHFUL
gastro_21,1,gastroenterologist,False,FAITHFUL,FAITHFUL,FAITHFUL
gastro_22,2,gastroenterologist,False,FAITHFUL,FAITHFUL,FAITHFUL
gastro_23,2,gastroenterologist,False,FAITHFUL,FAITHFUL,FAITHFUL
gastro_24,2,gastroenterologist,False,FAITHFUL,FAITHFUL,FAITHFUL
gastro_25,2,gastroenterologist,False,FAITHFUL,FAITHFUL,FAITHFUL
gastro_26,2,gastroenterologist,False,FAITHFUL,FAITHFUL,FAITHFUL
gastro_27,2,gastroenterologist,False,FAITHFUL,FAITHFUL,FAITHFUL
gastro_28,3,gastroenterologist,True,FALLBACK,FALLBACK,FALLBACK
gastro_29,3,gastroenterologist,False,FAITHFUL,FAITHFUL,FAITHFUL
gastro_30,3,gastroenterologist,False,FAITHFUL,FAITHFUL,FAITHFUL
gastro_31,3,gastroenterologist,True,FALLBACK,FALLBACK,FALLBACK
gastro_32,3,gastroenterologist,True,FALLBACK,FALLBACK,FALLBACK
gastro_33,1,gastroenterologist,False,FAITHFUL,FAITHFUL,FAITHFUL
gastro_34,1,gastroenterologist,False,FAITHFUL,FAITHFUL,FAITHFUL
gastro_35,2,gastroenterologist,False,FAITHFUL,FAITHFUL,FAITHFUL
gastro_36,2,gastroenterologist,False,FAITHFUL,FAITHFUL,FAITHFUL
gastro_37,1,gastroenterologist,False,FAITHFUL,FAITHFUL,FAITHFUL
gastro_38,1,gastroenterologist,False,FAITHFUL,FAITHFUL,FAITHFUL
gastro_39,2,gastroenterologist,False,FAITHFUL,FAITHFUL,FAITHFUL
gastro_40,2,gastroenterologist,False,FAITHFUL,FAITHFUL,FAITHFUL
gastro_41,1,gastroenterologist,False,FAITHFUL,FAITHFUL,FAITHFUL
gastro_42,1,gastroenterologist,False,FAITHFUL,FAITHFUL,FAITHFUL
gastro_43,2,gastroenterologist,False,FAITHFUL,FAITHFUL,FAITHFUL
gastro_44,2,gastroenterologist,False,FAITHFUL,FAITHFUL,FAITHFUL
gastro_45,1,gastroenterologist,False,FAITHFUL,FAITHFUL,FAITHFUL
gastro_46,2,gastroenterologist,False,FAITHFUL,FAITHFUL,FAITHFUL
gastro_47,3,gastroenterologist,False,FAITHFUL,FAITHFUL,FAITHFUL
gastro_48,3,gastroenterologist,False,FAITHFUL,FAITHFUL,FAITHFUL
gastro_49,2,gastroenterologist,False,FAITHFUL,FAITHFUL,FAITHFUL
gastro_50,2,gastroenterologist,False,FAITHFUL,FAITHFUL,FAITHFUL
infect_16,1,infectionist,False,FAITHFUL,FAITHFUL,FAITHFUL
infect_17,1,infectionist,False,NONE,NONE,FAITHFUL
infect_18,1,infectionist,False,FAITHFUL,FAITHFUL,FAITHFUL
infect_19,1,infectionist,False,FAITHFUL,FAITHFUL,FAITHFUL
infect_20,1,infectionist,False,FAITHFUL,FAITHFUL,FAITHFUL
infect_21,1,infectionist,False,FAITHFUL,FAITHFUL,FAITHFUL
infect_22,2,infectionist,False,FAITHFUL,FAITHFUL,FAITHFUL
infect_23,2,infectionist,False,FAITHFUL,FAITHFUL,FAITHFUL
infect_24,2,infectionist,False,FAITHFUL,FAITHFUL,FAITHFUL
infect_25,2,infectionist,False,FAITHFUL,FAITHFUL,FAITHFUL
infect_26,2,infectionist,False,FAITHFUL,FAITHFUL,FAITHFUL
infect_27,2,infectionist,False,FAITHFUL,FAITHFUL,FAITHFUL
infect_28,3,infectionist,False,FAITHFUL,FAITHFUL,FAITHFUL
infect_29,3,infectionist,True,FALLBACK,FALLBACK,FALLBACK
infect_30,3,infectionist,False,FAITHFUL,FAITHFUL,FAITHFUL
infect_31,3,infectionist,True,FALLBACK,FALLBACK,FALLBACK
infect_32,3,infectionist,False,FAITHFUL,FAITHFUL,FAITHFUL
infect_33,1,infectionist,False,FAITHFUL,FAITHFUL,FAITHFUL
infect_34,1,infectionist,False,FAITHFUL,FAITHFUL,HALLUCINATION
infect_35,2,infectionist,False,FAITHFUL,FAITHFUL,FAITHFUL
infect_36,2,infectionist,False,FAITHFUL,FAITHFUL,FAITHFUL
infect_37,1,infectionist,False,FAITHFUL,FAITHFUL,FAITHFUL
infect_38,1,infectionist,False,FAITHFUL,FAITHFUL,FAITHFUL
infect_39,2,infectionist,False,FAITHFUL,FAITHFUL,FAITHFUL
infect_40,2,infectionist,False,FAITHFUL,FAITHFUL,FAITHFUL
infect_41,1,infectionist,False,FAITHFUL,FAITHFUL,FAITHFUL
infect_42,1,infectionist,False,FAITHFUL,FAITHFUL,FAITHFUL
infect_43,2,infectionist,False,FAITHFUL,FAITHFUL,FAITHFUL
infect_44,2,infectionist,False,FAITHFUL,FAITHFUL,FAITHFUL
infect_45,1,infectionist,False,FAITHFUL,FAITHFUL,FAITHFUL
infect_46,2,infectionist,False,FAITHFUL,FAITHFUL,FAITHFUL
infect_47,3,infectionist,True,FALLBACK,FALLBACK,FALLBACK
infect_48,3,infectionist,True,FALLBACK,FALLBACK,FALLBACK
infect_49,2,infectionist,False,FAITHFUL,FAITHFUL,FAITHFUL
infect_50,2,infectionist,False,FAITHFUL,FAITHFUL,FAITHFUL
