signal,param_name,param_value,dev_tp,dev_fn,dev_fp,dev_tn,dev_recall,dev_fp_rate,dev_precision,dev_f1,dev_fp_ids,dev_fn_ids,test_tp,test_fn,test_fp,test_tn,test_recall,test_fp_rate,test_precision,test_f1,test_fp_ids,test_fn_ids
A,L2_REJECT_MIN,0.85,3,0,53,4,1.0,0.9298245614035088,0.05357142857142857,0.10169491525423728,cardio_1;cardio_2;cardio_3;cardio_4;cardio_5;cardio_6;cardio_7;cardio_9;cardio_11;cardio_12;cardio_13;cardio_14;cardio_15;endo_1;endo_2;endo_4;endo_5;endo_6;endo_8;endo_9;endo_10;endo_11;endo_12;endo_13;endo_15;gastro_1;gastro_2;gastro_3;gastro_4;gastro_5;gastro_6;gastro_7;gastro_8;gastro_9;gastro_11;gastro_12;gastro_13;gastro_14;gastro_15;infect_1;infect_2;infect_3;infect_4;infect_5;infect_6;infect_7;infect_8;infect_9;infect_11;infect_12;infect_13;infect_14;infect_15,,28,1,108,3,0.9655172413793104,0.972972972972973,0.20588235294117646,0.33939393939393936,cardio_16;cardio_17;cardio_18;cardio_19;cardio_20;cardio_21;cardio_22;cardio_23;cardio_24;cardio_25;cardio_26;cardio_27;cardio_33;cardio_34;cardio_35;cardio_36;cardio_37;cardio_38;cardio_39;cardio_40;cardio_41;cardio_42;cardio_44;cardio_45;cardio_49;cardio_50;endo_16;endo_17;endo_18;endo_19;endo_20;endo_21;endo_22;endo_24;endo_25;endo_26;endo_27;endo_28;endo_29;endo_30;endo_31;endo_32;endo_33;endo_34;endo_35;endo_37;endo_38;endo_45;endo_46;endo_47;endo_48;endo_49;gastro_16;gastro_17;gastro_18;gastro_19;gastro_20;gastro_21;gastro_22;gastro_23;gastro_24;gastro_25;gastro_26;gastro_27;gastro_33;gastro_34;gastro_35;gastro_36;gastro_37;gastro_38;gastro_39;gastro_40;gastro_41;gastro_42;gastro_43;gastro_44;gastro_45;gastro_46;gastro_49;gastro_50;infect_16;infect_17;infect_18;infect_19;infect_20;infect_21;infect_22;infect_23;infect_24;infect_25;infect_26;infect_27;infect_33;infect_34;infect_35;infect_36;infect_37;infect_38;infect_39;infect_40;infect_41;infect_42;infect_43;infect_44;infect_45;infect_46;infect_49;infect_50,endo_43
A,L2_REJECT_MIN,0.88,3,0,51,6,1.0,0.8947368421052632,0.05555555555555555,0.10526315789473684,cardio_1;cardio_2;cardio_3;cardio_4;cardio_5;cardio_6;cardio_7;cardio_9;cardio_12;cardio_13;cardio_14;cardio_15;endo_1;endo_2;endo_4;endo_6;endo_8;endo_9;endo_10;endo_11;endo_12;endo_13;endo_15;gastro_1;gastro_2;gastro_3;gastro_4;gastro_5;gastro_6;gastro_7;gastro_8;gastro_9;gastro_11;gastro_12;gastro_13;gastro_14;gastro_15;infect_1;infect_2;infect_3;infect_4;infect_5;infect_6;infect_7;infect_8;infect_9;infect_11;infect_12;infect_13;infect_14;infect_15,,28,1,97,14,0.9655172413793104,0.8738738738738738,0.224,0.36363636363636365,cardio_16;cardio_18;cardio_19;cardio_20;cardio_21;cardio_22;cardio_23;cardio_24;cardio_25;cardio_26;cardio_27;cardio_33;cardio_34;cardio_35;cardio_36;cardio_37;cardio_38;cardio_39;cardio_40;cardio_41;cardio_42;cardio_49;cardio_50;endo_16;endo_17;endo_19;endo_20;endo_24;endo_26;endo_27;endo_28;endo_29;endo_30;endo_31;endo_33;endo_34;endo_35;endo_37;endo_45;endo_47;endo_48;endo_49;gastro_16;gastro_17;gastro_18;gastro_19;gastro_20;gastro_21;gastro_22;gastro_23;gastro_24;gastro_25;gastro_26;gastro_27;gastro_33;gastro_34;gastro_35;gastro_36;gastro_37;gastro_38;gastro_39;gastro_40;gastro_42;gastro_43;gastro_44;gastro_45;gastro_46;gastro_49;gastro_50;infect_16;infect_17;infect_18;infect_19;infect_20;infect_21;infect_22;infect_23;infect_24;infect_25;infect_26;infect_27;infect_33;infect_34;infect_35;infect_36;infect_37;infect_38;infect_39;infect_40;infect_41;infect_42;infect_43;infect_44;infect_45;infect_46;infect_49;infect_50,endo_43
A,L2_REJECT_MIN,0.9,3,0,48,9,1.0,0.8421052631578947,0.058823529411764705,0.1111111111111111,cardio_1;cardio_2;cardio_3;cardio_4;cardio_5;cardio_6;cardio_9;cardio_12;cardio_13;cardio_14;cardio_15;endo_1;endo_2;endo_4;endo_6;endo_8;endo_9;endo_11;endo_12;endo_13;endo_15;gastro_1;gastro_2;gastro_3;gastro_4;gastro_5;gastro_6;gastro_7;gastro_8;gastro_11;gastro_12;gastro_13;gastro_14;gastro_15;infect_1;infect_2;infect_3;infect_4;infect_5;infect_6;infect_7;infect_8;infect_9;infect_11;infect_12;infect_13;infect_14;infect_15,,28,1,87,24,0.9655172413793104,0.7837837837837838,0.24347826086956523,0.3888888888888889,cardio_16;cardio_18;cardio_19;cardio_20;cardio_21;cardio_22;cardio_23;cardio_24;cardio_25;cardio_27;cardio_35;cardio_36;cardio_38;cardio_39;cardio_42;cardio_49;cardio_50;endo_16;endo_17;endo_20;endo_24;endo_26;endo_27;endo_28;endo_30;endo_34;endo_35;endo_37;endo_45;endo_47;endo_48;endo_49;gastro_16;gastro_17;gastro_18;gastro_19;gastro_20;gastro_21;gastro_22;gastro_23;gastro_24;gastro_25;gastro_26;gastro_27;gastro_33;gastro_34;gastro_35;gastro_36;gastro_37;gastro_38;gastro_39;gastro_40;gastro_42;gastro_43;gastro_44;gastro_45;gastro_46;gastro_49;gastro_50;infect_16;infect_17;infect_18;infect_19;infect_20;infect_21;infect_22;infect_23;infect_24;infect_25;infect_26;infect_27;infect_33;infect_34;infect_35;infect_36;infect_37;infect_38;infect_39;infect_40;infect_41;infect_42;infect_43;infect_44;infect_45;infect_46;infect_49;infect_50,endo_43
A,L2_REJECT_MIN,0.92,2,1,41,16,0.6666666666666666,0.7192982456140351,0.046511627906976744,0.08695652173913045,cardio_1;cardio_2;cardio_3;cardio_5;cardio_6;cardio_9;cardio_12;cardio_13;cardio_14;cardio_15;endo_1;endo_2;endo_4;endo_6;endo_11;endo_12;endo_13;gastro_1;gastro_2;gastro_3;gastro_4;gastro_5;gastro_7;gastro_11;gastro_12;gastro_14;gastro_15;infect_1;infect_2;infect_3;infect_4;infect_5;infect_6;infect_7;infect_8;infect_9;infect_11;infect_12;infect_13;infect_14;infect_15,cardio_10,26,3,79,32,0.896551724137931,0.7117117117117117,0.24761904761904763,0.3880597014925373,cardio_16;cardio_19;cardio_21;cardio_22;cardio_23;cardio_24;cardio_25;cardio_27;cardio_35;cardio_38;cardio_39;cardio_42;cardio_49;cardio_50;endo_16;endo_17;endo_20;endo_24;endo_26;endo_28;endo_34;endo_35;endo_37;endo_45;endo_47;endo_48;endo_49;gastro_16;gastro_17;gastro_18;gastro_19;gastro_21;gastro_22;gastro_23;gastro_24;gastro_25;gastro_26;gastro_27;gastro_33;gastro_34;gastro_35;gastro_36;gastro_37;gastro_38;gastro_39;gastro_42;gastro_44;gastro_45;gastro_46;gastro_49;gastro_50;infect_16;infect_17;infect_18;infect_19;infect_20;infect_21;infect_22;infect_23;infect_24;infect_25;infect_26;infect_27;infect_33;infect_34;infect_35;infect_36;infect_37;infect_38;infect_39;infect_40;infect_41;infect_42;infect_43;infect_44;infect_45;infect_46;infect_49;infect_50,cardio_30;endo_41;endo_43
A,L2_REJECT_MIN,0.93,2,1,39,18,0.6666666666666666,0.6842105263157895,0.04878048780487805,0.0909090909090909,cardio_1;cardio_2;cardio_3;cardio_5;cardio_6;cardio_9;cardio_12;cardio_13;cardio_14;cardio_15;endo_1;endo_4;endo_6;endo_11;endo_13;gastro_1;gastro_2;gastro_3;gastro_4;gastro_5;gastro_7;gastro_11;gastro_12;gastro_14;gastro_15;infect_1;infect_2;infect_3;infect_4;infect_5;infect_6;infect_7;infect_8;infect_9;infect_11;infect_12;infect_13;infect_14;infect_15,cardio_10,24,5,73,38,0.8275862068965517,0.6576576576576577,0.24742268041237114,0.380952380952381,cardio_16;cardio_19;cardio_21;cardio_23;cardio_24;cardio_25;cardio_27;cardio_35;cardio_38;cardio_39;cardio_42;cardio_49;cardio_50;endo_16;endo_20;endo_28;endo_34;endo_45;endo_47;endo_48;endo_49;gastro_16;gastro_17;gastro_18;gastro_19;gastro_21;gastro_22;gastro_23;gastro_24;gastro_25;gastro_26;gastro_27;gastro_33;gastro_34;gastro_35;gastro_36;gastro_37;gastro_38;gastro_39;gastro_42;gastro_44;gastro_45;gastro_46;gastro_49;gastro_50;infect_16;infect_17;infect_18;infect_19;infect_20;infect_21;infect_22;infect_23;infect_24;infect_25;infect_26;infect_27;infect_33;infect_34;infect_35;infect_36;infect_37;infect_38;infect_39;infect_40;infect_41;infect_42;infect_43;infect_44;infect_45;infect_46;infect_49;infect_50,cardio_30;cardio_31;endo_39;endo_41;endo_43
A,L2_REJECT_MIN,0.94,2,1,36,21,0.6666666666666666,0.631578947368421,0.05263157894736842,0.09756097560975609,cardio_2;cardio_3;cardio_5;cardio_6;cardio_9;cardio_12;cardio_13;cardio_15;endo_1;endo_4;endo_6;endo_11;endo_13;gastro_1;gastro_3;gastro_4;gastro_5;gastro_7;gastro_11;gastro_12;gastro_14;gastro_15;infect_1;infect_2;infect_3;infect_4;infect_5;infect_6;infect_7;infect_8;infect_9;infect_11;infect_12;infect_13;infect_14;infect_15,cardio_10,23,6,66,45,0.7931034482758621,0.5945945945945946,0.25842696629213485,0.38983050847457634,cardio_19;cardio_21;cardio_23;cardio_24;cardio_25;cardio_27;cardio_35;cardio_38;cardio_39;cardio_42;cardio_49;cardio_50;endo_20;endo_34;endo_45;endo_48;endo_49;gastro_17;gastro_18;gastro_19;gastro_21;gastro_22;gastro_23;gastro_25;gastro_26;gastro_27;gastro_33;gastro_34;gastro_35;gastro_36;gastro_37;gastro_38;gastro_39;gastro_44;gastro_45;gastro_46;gastro_49;gastro_50;infect_16;infect_17;infect_18;infect_19;infect_20;infect_21;infect_22;infect_23;infect_24;infect_25;infect_26;infect_27;infect_33;infect_34;infect_35;infect_36;infect_37;infect_38;infect_39;infect_40;infect_41;infect_42;infect_43;infect_44;infect_45;infect_46;infect_49;infect_50,cardio_30;cardio_31;endo_39;endo_41;endo_43;endo_50
A,L2_REJECT_MIN,0.95,2,1,33,24,0.6666666666666666,0.5789473684210527,0.05714285714285714,0.10526315789473684,cardio_2;cardio_3;cardio_5;cardio_6;cardio_9;cardio_12;cardio_13;cardio_15;endo_4;endo_6;endo_11;endo_13;gastro_1;gastro_4;gastro_5;gastro_7;gastro_11;gastro_12;gastro_14;infect_1;infect_2;infect_3;infect_4;infect_5;infect_6;infect_7;infect_8;infect_9;infect_11;infect_12;infect_13;infect_14;infect_15,cardio_10,22,7,59,52,0.7586206896551724,0.5315315315315315,0.2716049382716049,0.39999999999999997,cardio_19;cardio_23;cardio_24;cardio_25;cardio_27;cardio_35;cardio_38;cardio_39;cardio_42;cardio_49;cardio_50;endo_34;endo_45;endo_48;endo_49;gastro_17;gastro_21;gastro_23;gastro_25;gastro_26;gastro_27;gastro_33;gastro_34;gastro_36;gastro_37;gastro_39;gastro_44;gastro_45;gastro_46;gastro_49;gastro_50;infect_16;infect_17;infect_18;infect_19;infect_20;infect_21;infect_22;infect_23;infect_24;infect_25;infect_26;infect_27;infect_33;infect_34;infect_35;infect_36;infect_37;infect_38;infect_39;infect_40;infect_41;infect_42;infect_43;infect_44;infect_45;infect_46;infect_49;infect_50,cardio_30;cardio_31;endo_39;endo_41;endo_43;endo_44;endo_50
A,L2_REJECT_MIN,0.96,2,1,31,26,0.6666666666666666,0.543859649122807,0.06060606060606061,0.1111111111111111,cardio_2;cardio_3;cardio_5;cardio_6;cardio_9;cardio_12;cardio_13;cardio_15;endo_4;endo_6;endo_11;endo_13;gastro_1;gastro_4;gastro_5;gastro_7;gastro_12;gastro_14;infect_1;infect_2;infect_3;infect_4;infect_5;infect_7;infect_8;infect_9;infect_11;infect_12;infect_13;infect_14;infect_15,cardio_10,21,8,56,55,0.7241379310344828,0.5045045045045045,0.2727272727272727,0.3962264150943396,cardio_19;cardio_23;cardio_24;cardio_25;cardio_27;cardio_38;cardio_39;cardio_42;cardio_49;cardio_50;endo_34;endo_45;endo_48;endo_49;gastro_21;gastro_23;gastro_25;gastro_26;gastro_27;gastro_33;gastro_34;gastro_36;gastro_37;gastro_39;gastro_44;gastro_45;gastro_49;gastro_50;infect_16;infect_17;infect_18;infect_19;infect_20;infect_21;infect_22;infect_23;infect_24;infect_25;infect_26;infect_27;infect_33;infect_34;infect_35;infect_36;infect_37;infect_38;infect_39;infect_40;infect_41;infect_42;infect_43;infect_44;infect_45;infect_46;infect_49;infect_50,cardio_28;cardio_30;cardio_31;endo_39;endo_41;endo_43;endo_44;endo_50
A,L2_REJECT_MIN,0.97,2,1,26,31,0.6666666666666666,0.45614035087719296,0.07142857142857142,0.12903225806451613,cardio_2;cardio_5;cardio_6;cardio_9;cardio_13;endo_4;endo_6;endo_11;endo_13;gastro_1;gastro_4;gastro_5;gastro_12;gastro_14;infect_1;infect_2;infect_3;infect_4;infect_5;infect_7;infect_8;infect_9;infect_12;infect_13;infect_14;infect_15,cardio_10,20,9,47,64,0.6896551724137931,0.42342342342342343,0.29850746268656714,0.41666666666666663,cardio_19;cardio_23;cardio_24;cardio_25;cardio_27;cardio_39;cardio_42;cardio_49;cardio_50;endo_48;gastro_21;gastro_23;gastro_25;gastro_26;gastro_27;gastro_33;gastro_34;gastro_36;gastro_37;gastro_39;gastro_44;gastro_45;gastro_49;infect_16;infect_18;infect_19;infect_20;infect_21;infect_23;infect_24;infect_25;infect_26;infect_27;infect_33;infect_35;infect_36;infect_37;infect_38;infect_39;infect_40;infect_41;infect_42;infect_43;infect_45;infect_46;infect_49;infect_50,cardio_28;cardio_30;cardio_31;endo_39;endo_40;endo_41;endo_43;endo_44;endo_50
A,L2_REJECT_MIN,0.98,2,1,22,35,0.6666666666666666,0.38596491228070173,0.08333333333333333,0.14814814814814814,cardio_2;cardio_6;cardio_9;cardio_13;endo_6;endo_11;gastro_1;gastro_4;gastro_5;gastro_12;gastro_14;infect_1;infect_2;infect_3;infect_4;infect_5;infect_7;infect_9;infect_12;infect_13;infect_14;infect_15,cardio_10,14,15,42,69,0.4827586206896552,0.3783783783783784,0.25,0.32941176470588235,cardio_19;cardio_23;cardio_24;cardio_25;cardio_27;cardio_39;cardio_42;cardio_49;endo_48;gastro_23;gastro_25;gastro_27;gastro_33;gastro_34;gastro_36;gastro_37;gastro_39;gastro_44;gastro_45;gastro_49;infect_18;infect_19;infect_20;infect_21;infect_23;infect_24;infect_25;infect_26;infect_27;infect_35;infect_36;infect_37;infect_38;infect_39;infect_40;infect_41;infect_42;infect_43;infect_45;infect_46;infect_49;infect_50,cardio_28;cardio_30;cardio_31;cardio_32;cardio_47;endo_39;endo_40;endo_41;endo_42;endo_43;endo_44;endo_50;gastro_29;gastro_47;infect_28
