id,tier,domain,fallback,yandex_primary,secondary
cardio_16,1,cardiologist,False,FAITHFUL,FAITHFUL
cardio_17,1,cardiologist,False,FAITHFUL,FAITHFUL
cardio_18,1,cardiologist,False,FAITHFUL,FAITHFUL
cardio_19,1,cardiologist,False,FAITHFUL,FAITHFUL
cardio_20,1,cardiologist,False,FAITHFUL,FAITHFUL
cardio_21,1,cardiologist,False,FAITHFUL,FAITHFUL
cardio_22,2,cardiologist,False,FAITHFUL,FAITHFUL
cardio_23,2,cardiologist,False,FAITHFUL,FAITHFUL
cardio_24,2,cardiologist,False,FAITHFUL,FAITHFUL
cardio_25,2,cardiologist,False,FAITHFUL,FAITHFUL
cardio_26,2,cardiologist,False,FAITHFUL,FAITHFUL
cardio_27,2,cardiologist,False,FAITHFUL,FAITHFUL
cardio_28,3,cardiologist,False,FAITHFUL,FAITHFUL
cardio_29,3,cardiologist,False,FAITHFUL,FAITHFUL
cardio_30,3,cardiologist,False,FAITHFUL,FAITHFUL
cardio_31,3,cardiologist,False,FAITHFUL,FAITHFUL
cardio_32,3,cardiologist,False,FAITHFUL,FAITHFUL
cardio_33,1,cardiologist,False,FAITHFUL,FAITHFUL
cardio_34,1,cardiologist,False,FAITHFUL,FAITHFUL
cardio_35,2,cardiologist,False,FAITHFUL,FAITHFUL
cardio_36,2,cardiologist,False,FAITHFUL,FAITHFUL
cardio_37,1,cardiologist,False,FAITHFUL,FAITHFUL
cardio_38,1,cardiologist,False,FAITHFUL,FAITHFUL
cardio_39,2,cardiologist,False,FAITHFUL,FAITHFUL
cardio_40,2,cardiologist,False,FAITHFUL,HALLUCINATION
cardio_41,1,cardiologist,False,FAITHFUL,FAITHFUL
cardio_42,1,cardiologist,False,FAITHFUL,FAITHFUL
cardio_43,2,cardiologist,False,FAITHFUL,FAITHFUL
cardio_44,2,cardiologist,False,FAITHFUL,FAITHFUL
cardio_45,1,cardiologist,False,FAITHFUL,FAITHFUL
cardio_46,3,cardiologist,False,FAITHFUL,FAITHFUL
cardio_47,3,cardiologist,False,FAITHFUL,FAITHFUL
cardio_48,3,cardiologist,False,FAITHFUL,FAITHFUL
cardio_49,2,cardiologist,False,FAITHFUL,FAITHFUL
cardio_50,2,cardiologist,False,FAITHFUL,FAITHFUL
endo_16,1,endocrinologist,False,FAITHFUL,FAITHFUL
endo_17,1,endocrinologist,False,FAITHFUL,FAITHFUL
endo_18,1,endocrinologist,False,FAITHFUL,FAITHFUL
endo_19,1,endocrinologist,False,FAITHFUL,FAITHFUL
endo_20,1,endocrinologist,False,FAITHFUL,FAITHFUL
endo_21,1,endocrinologist,False,FAITHFUL,FAITHFUL
endo_22,1,endocrinologist,False,FAITHFUL,FAITHFUL
endo_23,1,endocrinologist,False,FAITHFUL,FAITHFUL
endo_24,1,endocrinologist,False,FAITHFUL,FAITHFUL
endo_25,2,endocrinologist,False,FAITHFUL,FAITHFUL
endo_26,2,endocrinologist,False,FAITHFUL,FAITHFUL
endo_27,2,endocrinologist,False,FAITHFUL,FAITHFUL
endo_28,2,endocrinologist,False,FAITHFUL,FAITHFUL
endo_29,2,endocrinologist,False,FAITHFUL,FAITHFUL
endo_30,2,endocrinologist,False,FAITHFUL,FAITHFUL
endo_31,2,endocrinologist,False,FAITHFUL,FAITHFUL
endo_32,2,endocrinologist,False,FAITHFUL,FAITHFUL
endo_33,2,endocrinologist,False,FAITHFUL,FAITHFUL
endo_34,1,endocrinologist,False,FAITHFUL,FAITHFUL
endo_35,2,endocrinologist,False,FAITHFUL,FAITHFUL
endo_36,2,endocrinologist,False,FAITHFUL,FAITHFUL
endo_37,2,endocrinologist,False,FAITHFUL,FAITHFUL
endo_38,2,endocrinologist,False,FAITHFUL,FAITHFUL
endo_39,3,endocrinologist,False,FAITHFUL,FAITHFUL
endo_40,3,endocrinologist,False,FAITHFUL,FAITHFUL
endo_41,3,endocrinologist,False,FAITHFUL,FAITHFUL
endo_42,3,endocrinologist,False,FAITHFUL,FAITHFUL
endo_43,3,endocrinologist,False,FAITHFUL,FAITHFUL
endo_44,3,endocrinologist,False,FAITHFUL,FAITHFUL
endo_45,1,endocrinologist,False,FAITHFUL,FAITHFUL
endo_46,1,endocrinologist,False,FAITHFUL,FAITHFUL
endo_47,2,endocrinologist,False,FAITHFUL,FAITHFUL
endo_48,2,endocrinologist,False,FAITHFUL,FAITHFUL
endo_49,2,endocrinologist,False,FAITHFUL,FAITHFUL
endo_50,3,endocrinologist,False,FAITHFUL,FAITHFUL
