K,L2_threshold,hits,total_queries,hit_rate_pct,avg_docs_retrieved,is_chosen
3,0.8,0,30,0.0,0.0,False
3,1.0,21,30,70.0,2.4,False
3,1.2,26,30,86.7,3.0,False
3,1.4,26,30,86.7,3.0,False
3,1.6,26,30,86.7,3.0,False
3,2.0,26,30,86.7,3.0,False
5,0.8,0,30,0.0,0.0,False
5,1.0,22,30,73.3,3.8,False
5,1.2,29,30,96.7,5.0,True
5,1.4,29,30,96.7,5.0,False
5,1.6,29,30,96.7,5.0,False
5,2.0,29,30,96.7,5.0,False
7,0.8,0,30,0.0,0.0,False
7,1.0,23,30,76.7,5.17,False
7,1.2,30,30,100.0,7.0,False
7,1.4,30,30,100.0,7.0,False
7,1.6,30,30,100.0,7.0,False
7,2.0,30,30,100.0,7.0,False
10,0.8,0,30,0.0,0.0,False
10,1.0,23,30,76.7,7.0,False
10,1.2,30,30,100.0,10.0,False
10,1.4,30,30,100.0,10.0,False
10,1.6,30,30,100.0,10.0,False
10,2.0,30,30,100.0,10.0,False
15,0.8,0,30,0.0,0.0,False
15,1.0,23,30,76.7,9.47,False
15,1.2,30,30,100.0,15.0,False
15,1.4,30,30,100.0,15.0,False
15,1.6,30,30,100.0,15.0,False
15,2.0,30,30,100.0,15.0,False
