signal,param_name,param_value,dev_tp,dev_fn,dev_fp,dev_tn,dev_recall,dev_fp_rate,dev_precision,dev_f1,dev_fp_ids,dev_fn_ids,test_tp,test_fn,test_fp,test_tn,test_recall,test_fp_rate,test_precision,test_f1,test_fp_ids,test_fn_ids
A,L2_REJECT_MIN,0.85,1,0,25,4,1.0,0.8620689655172413,0.038461538461538464,0.07407407407407407,cardio_1;cardio_2;cardio_3;cardio_4;cardio_5;cardio_6;cardio_7;cardio_9;cardio_11;cardio_12;cardio_13;cardio_14;cardio_15;endo_1;endo_2;endo_4;endo_5;endo_6;endo_8;endo_9;endo_10;endo_11;endo_12;endo_13;endo_15,,14,1,52,3,0.9333333333333333,0.9454545454545454,0.21212121212121213,0.345679012345679,cardio_16;cardio_17;cardio_18;cardio_19;cardio_20;cardio_21;cardio_22;cardio_23;cardio_24;cardio_25;cardio_26;cardio_27;cardio_33;cardio_34;cardio_35;cardio_36;cardio_37;cardio_38;cardio_39;cardio_40;cardio_41;cardio_42;cardio_44;cardio_45;cardio_49;cardio_50;endo_16;endo_17;endo_18;endo_19;endo_20;endo_21;endo_22;endo_24;endo_25;endo_26;endo_27;endo_28;endo_29;endo_30;endo_31;endo_32;endo_33;endo_34;endo_35;endo_37;endo_38;endo_45;endo_46;endo_47;endo_48;endo_49,endo_43
A,L2_REJECT_MIN,0.88,1,0,23,6,1.0,0.7931034482758621,0.041666666666666664,0.07999999999999999,cardio_1;cardio_2;cardio_3;cardio_4;cardio_5;cardio_6;cardio_7;cardio_9;cardio_12;cardio_13;cardio_14;cardio_15;endo_1;endo_2;endo_4;endo_6;endo_8;endo_9;endo_10;endo_11;endo_12;endo_13;endo_15,,14,1,42,13,0.9333333333333333,0.7636363636363637,0.25,0.39436619718309857,cardio_16;cardio_18;cardio_19;cardio_20;cardio_21;cardio_22;cardio_23;cardio_24;cardio_25;cardio_26;cardio_27;cardio_33;cardio_34;cardio_35;cardio_36;cardio_37;cardio_38;cardio_39;cardio_40;cardio_41;cardio_42;cardio_49;cardio_50;endo_16;endo_17;endo_19;endo_20;endo_24;endo_26;endo_27;endo_28;endo_29;endo_30;endo_31;endo_33;endo_34;endo_35;endo_37;endo_45;endo_47;endo_48;endo_49,endo_43
A,L2_REJECT_MIN,0.9,1,0,21,8,1.0,0.7241379310344828,0.045454545454545456,0.08695652173913045,cardio_1;cardio_2;cardio_3;cardio_4;cardio_5;cardio_6;cardio_9;cardio_12;cardio_13;cardio_14;cardio_15;endo_1;endo_2;endo_4;endo_6;endo_8;endo_9;endo_11;endo_12;endo_13;endo_15,,14,1,32,23,0.9333333333333333,0.5818181818181818,0.30434782608695654,0.45901639344262296,cardio_16;cardio_18;cardio_19;cardio_20;cardio_21;cardio_22;cardio_23;cardio_24;cardio_25;cardio_27;cardio_35;cardio_36;cardio_38;cardio_39;cardio_42;cardio_49;cardio_50;endo_16;endo_17;endo_20;endo_24;endo_26;endo_27;endo_28;endo_30;endo_34;endo_35;endo_37;endo_45;endo_47;endo_48;endo_49,endo_43
A,L2_REJECT_MIN,0.92,0,1,17,12,0.0,0.5862068965517241,0.0,0.0,cardio_1;cardio_2;cardio_3;cardio_5;cardio_6;cardio_9;cardio_12;cardio_13;cardio_14;cardio_15;endo_1;endo_2;endo_4;endo_6;endo_11;endo_12;endo_13,cardio_10,12,3,27,28,0.8,0.4909090909090909,0.3076923076923077,0.4444444444444444,cardio_16;cardio_19;cardio_21;cardio_22;cardio_23;cardio_24;cardio_25;cardio_27;cardio_35;cardio_38;cardio_39;cardio_42;cardio_49;cardio_50;endo_16;endo_17;endo_20;endo_24;endo_26;endo_28;endo_34;endo_35;endo_37;endo_45;endo_47;endo_48;endo_49,cardio_30;endo_41;endo_43
A,L2_REJECT_MIN,0.93,0,1,15,14,0.0,0.5172413793103449,0.0,0.0,cardio_1;cardio_2;cardio_3;cardio_5;cardio_6;cardio_9;cardio_12;cardio_13;cardio_14;cardio_15;endo_1;endo_4;endo_6;endo_11;endo_13,cardio_10,10,5,21,34,0.6666666666666666,0.38181818181818183,0.3225806451612903,0.4347826086956521,cardio_16;cardio_19;cardio_21;cardio_23;cardio_24;cardio_25;cardio_27;cardio_35;cardio_38;cardio_39;cardio_42;cardio_49;cardio_50;endo_16;endo_20;endo_28;endo_34;endo_45;endo_47;endo_48;endo_49,cardio_30;cardio_31;endo_39;endo_41;endo_43
A,L2_REJECT_MIN,0.94,0,1,13,16,0.0,0.4482758620689655,0.0,0.0,cardio_2;cardio_3;cardio_5;cardio_6;cardio_9;cardio_12;cardio_13;cardio_15;endo_1;endo_4;endo_6;endo_11;endo_13,cardio_10,9,6,17,38,0.6,0.3090909090909091,0.34615384615384615,0.43902439024390244,cardio_19;cardio_21;cardio_23;cardio_24;cardio_25;cardio_27;cardio_35;cardio_38;cardio_39;cardio_42;cardio_49;cardio_50;endo_20;endo_34;endo_45;endo_48;endo_49,cardio_30;cardio_31;endo_39;endo_41;endo_43;endo_50
A,L2_REJECT_MIN,0.95,0,1,12,17,0.0,0.41379310344827586,0.0,0.0,cardio_2;cardio_3;cardio_5;cardio_6;cardio_9;cardio_12;cardio_13;cardio_15;endo_4;endo_6;endo_11;endo_13,cardio_10,8,7,15,40,0.5333333333333333,0.2727272727272727,0.34782608695652173,0.4210526315789474,cardio_19;cardio_23;cardio_24;cardio_25;cardio_27;cardio_35;cardio_38;cardio_39;cardio_42;cardio_49;cardio_50;endo_34;endo_45;endo_48;endo_49,cardio_30;cardio_31;endo_39;endo_41;endo_43;endo_44;endo_50
A,L2_REJECT_MIN,0.96,0,1,12,17,0.0,0.41379310344827586,0.0,0.0,cardio_2;cardio_3;cardio_5;cardio_6;cardio_9;cardio_12;cardio_13;cardio_15;endo_4;endo_6;endo_11;endo_13,cardio_10,7,8,14,41,0.4666666666666667,0.2545454545454545,0.3333333333333333,0.3888888888888889,cardio_19;cardio_23;cardio_24;cardio_25;cardio_27;cardio_38;cardio_39;cardio_42;cardio_49;cardio_50;endo_34;endo_45;endo_48;endo_49,cardio_28;cardio_30;cardio_31;endo_39;endo_41;endo_43;endo_44;endo_50
A,L2_REJECT_MIN,0.97,0,1,9,20,0.0,0.3103448275862069,0.0,0.0,cardio_2;cardio_5;cardio_6;cardio_9;cardio_13;endo_4;endo_6;endo_11;endo_13,cardio_10,6,9,10,45,0.4,0.18181818181818182,0.375,0.38709677419354843,cardio_19;cardio_23;cardio_24;cardio_25;cardio_27;cardio_39;cardio_42;cardio_49;cardio_50;endo_48,cardio_28;cardio_30;cardio_31;endo_39;endo_40;endo_41;endo_43;endo_44;endo_50
A,L2_REJECT_MIN,0.98,0,1,6,23,0.0,0.20689655172413793,0.0,0.0,cardio_2;cardio_6;cardio_9;cardio_13;endo_6;endo_11,cardio_10,3,12,9,46,0.2,0.16363636363636364,0.25,0.22222222222222224,cardio_19;cardio_23;cardio_24;cardio_25;cardio_27;cardio_39;cardio_42;cardio_49;endo_48,cardio_28;cardio_30;cardio_31;cardio_32;cardio_47;endo_39;endo_40;endo_41;endo_42;endo_43;endo_44;endo_50
